Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
9380000,0.1519933,5.254222972972973,0.09778348,0.14067796610169492,0.14067796610169492,1.0
9390000,0.15192048,5.270746018440906,0.1025785,0.13879598662207357,0.13879598662207357,1.0
9400000,0.14820649,5.230066445182724,0.10437062,0.1625207296849088,0.1625207296849088,1.0
9410000,0.14813933,5.339464882943144,0.102378085,0.1454849498327759,0.1454849498327759,1.0
9420000,0.14469202,5.305862361937129,0.107335284,0.1503823279524214,0.1503823279524214,1.0
9430000,0.14460528,5.305394190871369,0.10444306,0.15,0.15,1.0
9440000,0.14128742,5.340118744698898,0.10295476,0.15118243243243243,0.15118243243243243,1.0
9450000,0.14117512,5.3173400673400675,0.102195,0.15656565656565657,0.15656565656565657,1.0
9460000,0.13776144,5.315966386554622,0.10760496,0.13383838383838384,0.13383838383838384,1.0
9470000,0.1376938,5.169179229480737,0.10850169,0.1596989966555184,0.1596989966555184,1.0
9480000,0.13428858,5.25889164598842,0.1108733,0.14061207609594706,0.14061207609594706,1.0
9490000,0.13421772,5.256239600665557,0.10926198,0.15083333333333335,0.15083333333333335,1.0
9500000,0.1305803,5.2468931234465614,0.10003296,0.1628099173553719,0.1628099173553719,1.0
9510000,0.13052866,5.236974789915966,0.10255275,0.15869017632241814,0.15869017632241814,1.0
9520000,0.1265774,5.263070539419087,0.10432287,0.1565362198168193,0.1565362198168193,1.0
9530000,0.12655205,5.3367003367003365,0.10805245,0.1568791946308725,0.1568791946308725,1.0
9540000,0.122596286,5.358538657604078,0.11325039,0.16197783461210571,0.16197783461210571,1.0
9550000,0.122494265,5.356839422259983,0.10759312,0.1484308736217133,0.1484308736217133,1.0
9560000,0.118591875,5.32625318606627,0.11228478,0.16057774001699235,0.16057774001699235,1.0
9570000,0.11857057,5.295150501672241,0.11843231,0.17485428809325562,0.17485428809325562,1.0
9580000,0.115246296,5.263468013468014,0.11062873,0.15235690235690236,0.15235690235690236,1.0
9590000,0.1152463,5.372598162071847,0.11211085,0.14562289562289563,0.14562289562289563,1.0
9600000,0.111841775,5.285592497868713,0.11011867,0.17920540997464074,0.17920540997464074,1.0
9610000,0.111841775,5.32998324958124,0.1044562,0.15092748735244518,0.15092748735244518,1.0
9620000,0.108070135,5.262718932443703,0.11100843,0.1756420878210439,0.1756420878210439,1.0
9630000,0.108046666,5.220551378446116,0.11735943,0.18979933110367894,0.18979933110367894,1.0
9640000,0.10445663,5.296979865771812,0.119518906,0.17114093959731544,0.17114093959731544,1.0
9650000,0.104456626,5.387372013651877,0.11750448,0.14678111587982834,0.14678111587982834,1.0
9660000,0.10097459,5.289297658862877,0.11811233,0.16874480465502908,0.16874480465502908,1.0
9670000,0.100951806,5.234465617232809,0.11741616,0.18015012510425354,0.18015012510425354,1.0
9680000,0.097397655,5.351648351648351,0.11529294,0.16638795986622074,0.16638795986622074,1.0
9690000,0.097397655,5.252911813643927,0.120485194,0.18802698145025296,0.18802698145025296,1.0
9700000,0.09371078,5.210702341137123,0.12647541,0.19224422442244224,0.19224422442244224,1.0
9710000,0.09368495,5.192839707078926,0.12570852,0.1737704918032787,0.1737704918032787,1.0
9720000,0.0896037,5.312931034482759,0.12063119,0.1596925704526046,0.1596925704526046,1.0
9730000,0.0896037,5.356602186711522,0.12247065,0.1458863443596268,0.1458863443596268,1.0
9740000,0.08566678,5.352088661551577,0.11350899,0.15384615384615385,0.15384615384615385,1.0
9750000,0.085666776,5.267219917012448,0.11199262,0.15008291873963517,0.15008291873963517,1.0
9760000,0.081902005,5.303979678238781,0.101936355,0.1634208298052498,0.1634208298052498,1.0
9770000,0.081853114,5.31198003327787,0.10600662,0.15346121768140117,0.15346121768140117,1.0
9780000,0.07790262,5.239294710327456,0.108694784,0.16485355648535566,0.16485355648535566,1.0
9790000,0.07779797,5.333333333333333,0.11372439,0.16764459346186086,0.16764459346186086,1.0
9800000,0.073875345,5.200660611065235,0.1177114,0.15867768595041323,0.15867768595041323,1.0
9810000,0.07379893,5.125519534497091,0.12564035,0.19601328903654486,0.19601328903654486,1.0
9820000,0.07004415,5.2751454696591855,0.11423442,0.1629260182876143,0.1629260182876143,1.0
9830000,0.06992145,5.207781456953643,0.119565256,0.17753922378199835,0.17753922378199835,1.0
9840000,0.06594697,5.2611570247933885,0.116378665,0.16377171215880892,0.16377171215880892,1.0
9850000,0.06587005,5.272650296359018,0.12734635,0.18251273344651953,0.18251273344651953,1.0
9860000,0.06213799,5.267277268942548,0.12284699,0.18490878938640132,0.18490878938640132,1.0
9870000,0.06206529,5.307563025210084,0.1183217,0.1708542713567839,0.1708542713567839,1.0
9880000,0.05824034,5.243333333333333,0.12324042,0.17878028404344193,0.17878028404344193,1.0
9890000,0.058139678,5.380305602716469,0.12423521,0.16652506372132542,0.16652506372132542,1.0
9900000,0.0545023,5.286808510638298,0.12025926,0.17642069550466496,0.17642069550466496,1.0
9910000,0.054353833,5.137651821862348,0.12496174,0.20647773279352227,0.20647773279352227,1.0
9920000,0.05104416,5.263865546218487,0.122313134,0.1740958788898234,0.1740958788898234,1.0
9930000,0.050933838,5.240924092409241,0.12590279,0.18301731244847486,0.18301731244847486,1.0
9940000,0.04721783,5.1694352159468435,0.12532467,0.18988391376451078,0.18988391376451078,1.0
9950000,0.047068194,5.155865463494668,0.12620996,0.19278096800656275,0.19278096800656275,1.0
9960000,0.042771608,5.229440789473684,0.12940435,0.18765432098765433,0.18765432098765433,1.0
9970000,0.042542458,5.180532445923461,0.1349111,0.19850498338870431,0.19850498338870431,1.0
9980000,0.03838275,5.194719471947194,0.1314795,0.18579686209744012,0.18579686209744012,1.0
9990000,0.03815941,5.340153452685422,0.13148692,0.17206132879045996,0.17206132879045996,1.0
10000000,0.03402629,5.22798353909465,0.13343863,0.19670781893004116,0.19670781893004116,1.0
10010000,0.03380438,5.219063545150502,0.13124058,0.19983277591973245,0.19983277591973245,1.0
10020000,0.029700961,5.273251028806585,0.13902786,0.1825657894736842,0.1825657894736842,1.0
10030000,0.029510738,5.2252100840336135,0.14312863,0.18871103622577928,0.18871103622577928,1.0
10040000,0.025801755,5.293823038397329,0.1369196,0.1823480432972523,0.1823480432972523,1.0
10050000,0.025602616,5.376799322607959,0.13353907,0.17417162276975362,0.17417162276975362,1.0
10060000,0.021722203,5.281487743026204,0.12580448,0.19341216216216217,0.19341216216216217,1.0
10070000,0.021537423,5.290512174643157,0.12452662,0.20033528918692373,0.20033528918692373,1.0
10080000,0.017926522,5.354591836734694,0.12909974,0.18845500848896435,0.18845500848896435,1.0
10090000,0.017703932,5.356418918918919,0.13520125,0.1839662447257384,0.1839662447257384,1.0
10100000,0.013932139,5.1909090909090905,0.13123861,0.19900908340214699,0.19900908340214699,1.0
10110000,0.013726871,5.277777777777778,0.13186722,0.18988391376451078,0.18988391376451078,1.0
10120000,0.010228159,5.280405405405405,0.12800808,0.18887015177065766,0.18887015177065766,1.0
10130000,0.010010997,5.204938271604938,0.12412324,0.18930041152263374,0.18930041152263374,1.0
10140000,0.006656466,5.20957095709571,0.12871632,0.2014863748967795,0.2014863748967795,1.0
10150000,0.00637885,5.156797331109257,0.12698829,0.21202003338898165,0.21202003338898165,1.0
10160000,0.0027716497,5.1613431613431615,0.13858527,0.19705641864268192,0.19705641864268192,1.0
10170000,0.0024710495,5.181444991789819,0.13812768,0.19129720853858784,0.19129720853858784,1.0
10180000,-0.0012948321,5.085072231139647,0.14241213,0.21365461847389558,0.21365461847389558,1.0
10190000,-0.0015492835,5.126141078838175,0.14276204,0.20961060480530241,0.20961060480530241,1.0
10200000,-0.005707517,5.251864125932063,0.14504118,0.19619205298013245,0.19619205298013245,1.0
10210000,-0.0059884787,5.186161449752883,0.1492503,0.19490131578947367,0.19490131578947367,1.0
10220000,-0.010129404,5.125204582651391,0.13861984,0.20556920556920558,0.20556920556920558,1.0
10230000,-0.010382931,5.158847736625514,0.13648677,0.2077175697865353,0.2077175697865353,1.0
10240000,-0.014012617,5.073251028806585,0.14614543,0.20230263157894737,0.20230263157894737,1.0
10250000,-0.014293789,5.146222583265637,0.14536943,0.21086780210867803,0.21086780210867803,1.0
10260000,-0.017884972,5.154098360655738,0.15092072,0.22286184210526316,0.22286184210526316,1.0
10270000,-0.018236557,5.121970920840065,0.1481247,0.22392886014551333,0.22392886014551333,1.0
10280000,-0.02228457,5.214765100671141,0.14782254,0.19899665551839466,0.19899665551839466,1.0
10290000,-0.022565683,5.171733771569433,0.14909585,0.20230263157894737,0.20230263157894737,1.0
10300000,-0.026677316,5.197703035274816,0.14385019,0.19328419328419327,0.19328419328419327,1.0
10310000,-0.027048506,5.246644295302014,0.1443831,0.20553691275167785,0.20553691275167785,1.0
10320000,-0.030396806,5.209263854425145,0.13526186,0.21026490066225165,0.21026490066225165,1.0
10330000,-0.030703343,5.1975,0.13891302,0.22148209825145712,0.22148209825145712,1.0
10340000,-0.033701487,5.210180623973727,0.14128615,0.21018062397372742,0.21018062397372742,1.0
10350000,-0.034015976,5.126853377265239,0.14287086,0.205761316872428,0.205761316872428,1.0
10360000,-0.037262812,5.137987012987013,0.14974405,0.2255456750202102,0.2255456750202102,1.0
10370000,-0.037555933,5.089417555373257,0.14791049,0.22824302134646962,0.22824302134646962,1.0
10380000,-0.041120242,5.255371900826447,0.15015434,0.20678246484698098,0.20678246484698098,1.0
10390000,-0.041496754,5.209917355371901,0.15109864,0.21836228287841192,0.21836228287841192,1.0
10400000,-0.045363262,5.141439205955335,0.1536922,0.22194719471947194,0.22194719471947194,1.0
10410000,-0.04571724,5.160655737704918,0.1474038,0.21493027071369974,0.21493027071369974,1.0
10420000,-0.04930743,5.138728323699422,0.15187871,0.23102310231023102,0.23102310231023102,1.0
10430000,-0.0496639,5.203779786359902,0.1521637,0.22969647251845776,0.22969647251845776,1.0
10440000,-0.05309758,5.210264900662252,0.14999522,0.19272125723738626,0.19272125723738626,1.0
10450000,-0.053489998,5.1801140994295025,0.15778248,0.22303921568627452,0.22303921568627452,1.0
10460000,-0.057272412,5.0785597381342065,0.15875004,0.20588235294117646,0.20588235294117646,1.0
10470000,-0.057618693,5.118174409127954,0.15390816,0.22050447518307567,0.22050447518307567,1.0
10480000,-0.06123866,5.020634920634921,0.1518911,0.2199203187250996,0.2199203187250996,1.0
10490000,-0.06167512,5.094449047224524,0.15216282,0.22396694214876034,0.22396694214876034,1.0
10500000,-0.06529344,5.028915662650602,0.15452084,0.2281124497991968,0.2281124497991968,1.0
10510000,-0.06579161,5.087449392712551,0.15473214,0.21890145395799676,0.21890145395799676,1.0
10520000,-0.069433175,5.139497161394972,0.1477724,0.20924574209245742,0.20924574209245742,1.0
10530000,-0.06995845,5.132340777502068,0.15119204,0.22203811101905552,0.22203811101905552,1.0
10540000,-0.073784456,5.07223113964687,0.14849213,0.22614274258219727,0.22614274258219727,1.0
10550000,-0.074276365,5.094308943089431,0.14606132,0.21672077922077923,0.21672077922077923,1.0
10560000,-0.07795057,5.05407586763519,0.15425293,0.21890145395799676,0.21890145395799676,1.0
10570000,-0.07842636,5.122764227642277,0.15366264,0.2241238793806031,0.2241238793806031,1.0
10580000,-0.081935816,5.068595041322314,0.15811339,0.2345679012345679,0.2345679012345679,1.0
10590000,-0.08234271,4.9920823436262864,0.15646437,0.24208860759493672,0.24208860759493672,1.0
10600000,-0.08567904,4.993610223642173,0.15996082,0.23501199040767387,0.23501199040767387,1.0
10610000,-0.08614174,5.133008921330089,0.16049732,0.21636952998379255,0.21636952998379255,1.0
10620000,-0.089362554,5.125925925925926,0.16393393,0.23786008230452674,0.23786008230452674,1.0
10630000,-0.08978573,5.187963726298434,0.15977885,0.21864686468646866,0.21864686468646866,1.0
10640000,-0.09289738,5.100080710250202,0.15604757,0.23851732473811443,0.23851732473811443,1.0
10650000,-0.09329745,5.24036850921273,0.1554888,0.21728187919463088,0.21728187919463088,1.0
10660000,-0.09658048,5.089951377633711,0.15969181,0.2384428223844282,0.2384428223844282,1.0
10670000,-0.09705976,5.057236304170074,0.16429977,0.23553382233088835,0.23553382233088835,1.0
10680000,-0.10040627,5.161657189277011,0.16075724,0.2271986970684039,0.2271986970684039,1.0
10690000,-0.10098067,5.118811881188119,0.17122215,0.24815119145439607,0.24815119145439607,1.0
10700000,-0.10410321,5.071485943775101,0.17246057,0.2536115569823435,0.2536115569823435,1.0
10710000,-0.10460833,5.080882352941177,0.17279652,0.25756336876533115,0.25756336876533115,1.0
10720000,-0.10790239,5.1033360455655,0.17487581,0.2532467532467532,0.2532467532467532,1.0
10730000,-0.10843921,5.083668543845535,0.17221811,0.2391304347826087,0.2391304347826087,1.0
10740000,-0.11183287,4.98793242156074,0.16571209,0.24054706355591313,0.24054706355591313,1.0
10750000,-0.112306975,5.012038523274478,0.17235091,0.2453889334402566,0.2453889334402566,1.0
10760000,-0.11578989,5.064935064935065,0.16441599,0.23778501628664495,0.23778501628664495,1.0
10770000,-0.1163877,5.0823244552058116,0.16670996,0.24437299035369775,0.24437299035369775,1.0
10780000,-0.11996171,4.987169206094627,0.16247497,0.22738190552441953,0.22738190552441953,1.0
10790000,-0.1205529,4.979575805184603,0.16854689,0.2503937007874016,0.2503937007874016,1.0
10800000,-0.12365966,5.049755301794454,0.16789521,0.2563059397884459,0.2563059397884459,1.0
10810000,-0.124205135,5.075990299110752,0.16694124,0.25101214574898784,0.25101214574898784,1.0
10820000,-0.12775944,5.0408,0.1813872,0.25458898643256184,0.25458898643256184,1.0
10830000,-0.12833866,5.014693877551021,0.18512607,0.2634584013050571,0.2634584013050571,1.0
10840000,-0.1317387,5.0232,0.17726626,0.25421010425020046,0.25421010425020046,1.0
10850000,-0.13235226,4.991980753809142,0.17859161,0.25819344524380494,0.25819344524380494,1.0
10860000,-0.13571365,4.969145569620253,0.18317436,0.2600790513833992,0.2600790513833992,1.0
10870000,-0.13635027,5.077551020408163,0.18063211,0.2553017944535073,0.2553017944535073,1.0
10880000,-0.1399816,5.0647482014388485,0.18936782,0.2682145716573259,0.2682145716573259,1.0
10890000,-0.14066419,5.081632653061225,0.18216525,0.24898291293734745,0.24898291293734745,1.0
10900000,-0.14424084,5.027932960893855,0.1852854,0.2848,0.2848,1.0
10910000,-0.14485475,5.027375201288245,0.1801728,0.2743362831858407,0.2743362831858407,1.0
10920000,-0.14840563,5.0623973727422005,0.1929264,0.2545155993431856,0.2545155993431856,1.0
10930000,-0.14902905,5.107779578606159,0.19142702,0.24898949070331447,0.24898949070331447,1.0
10940000,-0.1525148,5.068714632174616,0.19155027,0.26596604688763137,0.26596604688763137,1.0
10950000,-0.153175,5.084067253803043,0.18698989,0.26184738955823295,0.26184738955823295,1.0
10960000,-0.15670867,5.055737704918033,0.18309778,0.27161500815660683,0.27161500815660683,1.0
10970000,-0.15736103,5.084074373484236,0.18089175,0.26537216828478966,0.26537216828478966,1.0
10980000,-0.16069219,4.974703557312253,0.18763623,0.2796208530805687,0.2796208530805687,1.0
10990000,-0.16135332,4.973578863090473,0.19027849,0.2734562951082598,0.2734562951082598,1.0
11000000,-0.16474164,5.0508474576271185,0.19403385,0.26069410815173527,0.26069410815173527,1.0
11010000,-0.16532758,5.043265306122449,0.19585036,0.25895765472312704,0.25895765472312704,1.0
11020000,-0.16833502,5.0253766851704995,0.19440429,0.26290706910246225,0.26290706910246225,1.0
11030000,-0.1690111,5.014586709886548,0.19286954,0.27140549273021003,0.27140549273021003,1.0
11040000,-0.17231499,5.023885350318471,0.19198252,0.26374501992031874,0.26374501992031874,1.0
11050000,-0.17306353,4.958333333333333,0.19752741,0.28582866293034426,0.28582866293034426,1.0
11060000,-0.1764964,4.948535233570863,0.19967905,0.2913697545526524,0.2913697545526524,1.0
11070000,-0.17727415,4.977093206951027,0.19897944,0.2592885375494071,0.2592885375494071,1.0
11080000,-0.18068214,5.067977067977068,0.19900574,0.28687856560717195,0.28687856560717195,1.0
11090000,-0.18137439,5.05654281098546,0.19908422,0.27522195318805487,0.27522195318805487,1.0
11100000,-0.1845001,5.0242914979757085,0.19471282,0.2874493927125506,0.2874493927125506,1.0
11110000,-0.18521951,5.05111821086262,0.19953081,0.26458832933653076,0.26458832933653076,1.0
11120000,-0.1884786,5.01207729468599,0.19596046,0.285829307568438,0.285829307568438,1.0
11130000,-0.18922281,5.013460015835313,0.1931591,0.2782608695652174,0.2782608695652174,1.0
11140000,-0.19230194,4.995125913891146,0.2006659,0.2917341977309562,0.2917341977309562,1.0
11150000,-0.19298619,4.996009577015164,0.20057066,0.29276054097056486,0.29276054097056486,1.0
11160000,-0.19581498,5.057304277643261,0.20675822,0.28743961352657005,0.28743961352657005,1.0
11170000,-0.19651651,5.023500810372772,0.20985077,0.2924451665312754,0.2924451665312754,1.0
